meanings,jlpt_level,stroke_count,radicals,reading_kun,reading_on
"['Asia', 'rank next', 'come after', '-ous', 'Asie', 'suivant', 'sub-', 'sous-', 'pref. para indicar', 'venir después de', 'Asia', 'Ásia', 'próxima', 'o que vem depois', '-ous']",,7,7,['つ.ぐ'],['ア']
"['mute', 'dumb']",,10,30,['おし'],"['ア', 'アク']"
['beautiful'],,9,38,['うつく.しい'],"['ア', 'アイ', 'ワ']"
"['Africa', 'flatter', 'fawn upon', 'corner', 'nook', 'recess', 'flatter', 'flagorner', 'Afrique', 'coin', 'recoin', 'A fonética', 'África', 'meandro', 'adular', 'halagar']",,8,170,"['おもね.る', 'くま']","['ア', 'オ']"
"['pathetic', 'grief', 'sorrow', 'pathos', 'pity', 'sympathize', 'pitoyable', 'peine', 'chagrin', 'pitié', 'pathétique', 'compatir', 'compasión', 'lástima', 'miseria', 'piedad', 'pena', 'compadecerse de', 'patético', 'pesar', 'pena', 'emoção', 'compaixão', 'solidariesar']",,9,30,"['あわ.れ', 'あわ.れむ', 'かな.しい']",['アイ']
"['love', 'affection', 'favourite', 'amour', 'affection', 'favori', 'amor', 'afecto', 'favorito', 'amor', 'afeição', 'favorito']",,13,61,"['いと.しい', 'かな.しい', 'め.でる', 'お.しむ', 'まな']",['アイ']
"['approach', 'draw near', 'push open', 'empujar', 'acercarse']",,10,64,['ひら.く'],['アイ']
"['good-looking', 'quiet']",,9,38,['あい'],"['オウ', 'アイ']"
"['meeting', 'tryst', 'date', 'rendezvous', 'encuentro', 'cita', 'encuentro casual', 'encontrarse', 'reunirse', 'citarse', 'verse por casualidad']",,10,162,"['あ.う', 'むか.える']",['ホウ']
"['hollyhock', 'malva real', 'malva loca']",,12,140,['あおい'],['キ']
"['madder', 'red dye', 'Turkey red', 'tinte rojo', 'rojo brillante']",,9,140,['あかね'],['セン']
['autumn'],,16,115,"['あき', 'とき']",['シュウ']
"['bad', 'vice', 'rascal', 'false', 'evil', 'wrong', 'mauvais', 'vice', 'vaurien', 'faux', 'mal', 'malo', 'incorrecto', 'equivocado', 'odio', 'mal', 'mal', 'ruim', 'falso', 'mau', 'errado']",,11,61,"['わる.い', 'わる-', 'あ.し', 'にく.い', '-にく.い', 'ああ', 'いずくに', 'いずくんぞ', 'にく.む']","['アク', 'オ']"
"['grip', 'hold', 'mould sushi', 'bribe', ""s'agripper"", 'tenir', 'mouler (sushis)', 'soudoyer', 'agarrar', 'coger', 'asir', 'empuñar', 'apretar con la mano', 'agarrar', 'segurar', 'moldar sushi', 'suborno']",,12,64,['にぎ.る'],['アク']
"['kindness', 'moisten', 'bondad', 'amabilidad', 'benevolente', 'afectuoso', 'amable']",,12,85,"['あつ.い', 'うるお.う']",['アク']
"['rising sun', 'morning sun', 'soleil levant', 'sol del amanecer', 'sol naciente']",,6,72,['あさひ'],['キョク']
"['reed', 'bullrush']",,13,140,"['あし', 'よし', 'しお.れる', 'しな.びる', 'しぼ.む', 'な.える']",['イ']
"['reed', 'bullrush', 'junco']",,7,140,"['あし', 'よし']",['ロ']
"['horse mackerel', 'chicharro', 'jurel']",,19,195,['あじ'],['ソウ']
"['catalpa tree', 'woodblock printing', 'catalpa', 'árbol del catalpa']",,11,75,['あずさ'],['シ']
"['pressure', 'push', 'overwhelm', 'oppress', 'dominate', 'pression', 'pousser', 'submerger', 'oppresser', 'dominer', 'presión', 'opresión', 'pressão', 'empurrar', 'inundar', 'oprimir', 'dominar']",,5,32,"['お.す', 'へ.す', 'おさ.える', 'お.さえる']","['アツ', 'エン', 'オウ']"
"['go around', 'rule', 'administer']",,14,68,"['めぐ.る', 'めぐ.らす']","['アツ', 'カン', 'ワツ']"
"['handle', 'entertain', 'thresh', 'strip', 'manoeuvrer', 'prendre en main', 'battre', 'arracher', 'tratar', 'manejar', 'desempeñar', 'cabo', 'entreter', 'debulhar', 'desnudar']",,6,64,"['あつか.い', 'あつか.う', 'あつか.る', 'こ.く']","['ソウ', 'キュウ']"
"['address', 'just like', 'fortunately', 'adresse (postale)', 'comme si', 'de chaque', 'heureusement', 'algo así como', 'enteramente', 'completamente', 'dirección', 'afortunadamente']",,8,40,"['あ.てる', '-あて', '-づつ', 'あたか.も']",['エン']
"['elder sister', 'maidservant']",,8,38,"['あね', 'ねえさん']","['ソ', 'シャ']"
"['gadfly', 'horsefly']",,9,142,['あぶ'],['ボウ']
"['rice jelly', 'candy', 'golosina', 'dulce de arroz']",,13,184,"['あめ', 'やしな.う']","['イ', 'シ']"
"['brilliant fabric design', 'magnífico', 'resplandeciente']",,12,120,[],['ケン']
"['design', 'figured cloth', 'twill', 'sarga', 'tela con diseño']",,14,120,['あや'],['リン']
"['freshwater trout', 'smelt', 'trucha']",,16,195,"['あゆ', 'なまず']","['デン', 'ネン']"
"['some', 'one', 'or', 'possibly', 'a certain', 'un certain', 'un', 'ou', 'ou bien', 'cierto', 'o', 'posiblemente']",,8,62,"['あ.る', 'あるい', 'あるいは']","['ワク', 'コク', 'イキ']"
"['millet', 'mijo']",,12,119,"['あわ', 'もみ']","['ゾク', 'ショク', 'ソク']"
['lined (kimono)'],,11,145,['あわせ'],"['コウ', 'キョウ']"
"['relax', 'cheap', 'low', 'quiet', 'rested', 'contented', 'peaceful', 'paisible', 'calme', 'tranquille', 'pas cher', 'reposant', 'satisfait', 'barato', 'tranquilo', 'pacífico', 'relaxar', 'calmo', 'baixo', 'barato', 'descansado', 'pacífico', 'satisfeito']",,6,40,"['やす.い', 'やす.まる', 'やす', 'やす.らか']",['アン']
"['hermitage', 'retreat', 'retiro', 'cabaña', 'ermita', 'ermita (de paja)']",,11,53,"['いおり', 'いお']",['アン']
"['hold', 'consider', 'investigate']",,9,64,"['おさ.える', 'しら.べる']",['アン']
"['darkness', 'disappear', 'shade', 'informal', 'grow dark', 'be blinded', 'obscurité', 'disparaître', 'ombre', 'informel', ""s'assombrir"", 'être aveuglé', 'oscuro', 'poco claro', 'memorizar', 'sombrío', 'escuridão', 'desaparecer', 'sombra', 'informal', 'escurecer', 'cegar']",,13,72,"['くら.い', 'くら.む', 'くれ.る']",['アン']
"['plan', 'suggestion', 'draft', 'ponder', 'fear', 'proposition', 'idea', 'expectation', 'worry', 'table', 'bench', 'plan', 'suggestion', 'projet (loi)', 'réflexion', 'peur', 'proposition', 'idée', 'attente', 'plan', 'idea', 'sugerencia', 'borrador', 'plano', 'sugestão', 'esboço', 'ponderar', 'medo', 'proposição', 'idéia', 'expectativa', 'conta', 'preocupar']",,10,75,['つくえ'],['アン']
"['get dark', 'gloom', 'disorder', 'oscuro', 'sombrío', 'poco claro', 'sin esperanza', 'confuso']",,17,169,"['やみ', 'くら.い']","['アン', 'オン']"
"['saddle', 'silla de montar']",,15,177,['くら'],['アン']
"['apricot', 'abricot', 'albaricoque']",,7,75,['あんず'],"['キョウ', 'アン', 'コウ']"
"['by means of', 'because', 'in view of', 'compared with', 'au moyen de', 'parce que', 'en vue de', 'comparé à', 'además de', 'más que', 'Por meios de', 'porque', 'em visão de', 'comparada com']",,5,9,['もっ.て'],['イ']
"['Italy', 'that one', 'Italie', 'celui-là', 'I fonética', 'Italia', 'ese', 'aquel']",,6,9,['かれ'],['イ']
"['rank', 'grade', 'throne', 'crown', 'about', 'some', 'rang', 'position', 'grade', 'trône', 'couronne', 'à peu près', 'grado', 'posición', 'aproximadamente', 'trono', 'posição', 'grau', 'trono', 'coroa', 'sobre', 'alguma']",,7,9,"['くらい', 'ぐらい']",['イ']
"['reliant', 'depend on', 'consequently', 'therefore', 'due to', 'dépendant', 'par conséquent', 'donc', 'dû à', 'confiar en', 'depender de', 'estar basado en', 'confiante', 'contar com', 'consequentemente', 'portanto', 'devido para']",,8,9,['よ.る'],"['イ', 'エ']"
"['admirable', 'greatness', 'remarkable', 'conceited', 'famous', 'excellent', 'admirable', 'grandeur', 'remarquable', 'vaniteux', 'célèbre', 'excellent', 'admirable', 'notable', 'excelente', 'admirável', 'grandeza', 'notável', 'conceituado', 'excelente', 'famoso']",,12,9,['えら.い'],['イ']
